runn, x, y, z 
47036, -5.692845, 1.910640, 16.838703 
47037, -5.753893, 1.741017, 17.404398 
47038, -5.778919, 1.684325, 18.076456 
47039, -5.775381, 1.723547, 18.735926 
47040, -5.760342, 1.818034, 19.879347 
47041, -5.743052, 1.931791, 21.490370 
47042, -5.826931, 1.723356, 22.962330 
47043, -5.837736, 1.723787, 23.859922 
47044, -5.838528, 1.742959, 24.392139 
47045, -5.830716, 1.781102, 24.696049 
47046, -5.832572, 1.781107, 24.848143 
47047, 0.831880, 6.801754, 17.979082 
47048, 0.779494, 6.810907, 18.218449 
47049, 0.765514, 6.818466, 18.703089 
47050, 0.776503, 6.824321, 19.278854 
47051, 0.831404, 6.824821, 19.843836 
47052, 0.812751, 6.839150, 20.823425 
47053, 0.805698, 6.857005, 22.203619 
47054, 0.837611, 6.868740, 23.464676 
47055, 0.860748, 6.875371, 24.233662 
47056, 0.861654, 6.880886, 24.689621 
47057, 0.851392, 6.885375, 24.949986 
47058, 0.852496, 6.886847, 25.080288 
47059, 0.656935, 6.818648, 17.909908 
47060, 0.606188, 6.826353, 18.152979 
47061, 0.587006, 6.834112, 18.645119 
47062, 0.596959, 6.840477, 19.229794 
47063, 0.651168, 6.842627, 19.803516 
47064, 0.635322, 6.856420, 20.798264 
47065, 0.631038, 6.874148, 22.199814 
47066, 0.656259, 6.887628, 23.480383 
47067, 0.678753, 6.895111, 24.261267 
47068, 0.679726, 6.900745, 24.724281 
47069, 0.669990, 6.904968, 24.988676 
47070, 0.672791, 6.906333, 25.120995 
47071, 0.156351, 6.839825, 17.798105 
47072, 0.110489, 6.843651, 18.059029 
47073, 0.076428, 6.850052, 18.587318 
47074, 0.083325, 6.857024, 19.214939 
47075, 0.135265, 6.863118, 19.830805 
47076, 0.127596, 6.882831, 20.898621 
47077, 0.131160, 6.899672, 22.403122 
47078, 0.136960, 6.915007, 23.777756 
47079, 0.157447, 6.923992, 24.615997 
47080, 0.158572, 6.929552, 25.113024 
47081, 0.150360, 6.932925, 25.396837 
47082, 0.158013, 6.934351, 25.538876 
47083, -0.628833, 6.820584, 17.676247 
47084, -0.666691, 6.819995, 17.915991 
47085, -0.723785, 6.820268, 18.401398 
47086, -0.721723, 6.827727, 18.978071 
47087, -0.673751, 6.839727, 19.543945 
47088, -0.668889, 6.852513, 20.525084 
47089, -0.653040, 6.871379, 21.907457 
47090, -0.677728, 6.884835, 23.170507 
47091, -0.660592, 6.896161, 23.940708 
47092, -0.659233, 6.902019, 24.397388 
47093, -0.664965, 6.904740, 24.658165 
47094, -0.649777, 6.907823, 24.788673 
47095, -1.865347, 6.609608, 17.454096 
47096, -1.889892, 6.605745, 17.696491 
47097, -1.980883, 6.585361, 18.187263 
47098, -1.988530, 6.598479, 18.770313 
47099, -1.948001, 6.617923, 19.342443 
47100, -1.923839, 6.637743, 20.334429 
47101, -1.887497, 6.658245, 21.732086 
47102, -1.960657, 6.661399, 23.009098 
47103, -1.949179, 6.674786, 23.787813 
47104, -1.947534, 6.681206, 24.249542 
47105, -1.949323, 6.684075, 24.513201 
47106, -1.922936, 6.693410, 24.645153 
47107, -3.111099, 6.185442, 16.884176 
47108, -3.118872, 6.176404, 17.137384 
47109, -3.242133, 6.128023, 17.650053 
47110, -3.254582, 6.129574, 18.259115 
47111, -3.226241, 6.161058, 18.856771 
47112, -3.185032, 6.196240, 19.893013 
47113, -3.131447, 6.234343, 21.353025 
47114, -3.243924, 6.194372, 22.687012 
47115, -3.241886, 6.214824, 23.500469 
47116, -3.240140, 6.222165, 23.982798 
47117, -3.238218, 6.226835, 24.258221 
47118, -3.202288, 6.247220, 24.396059 
47119, -4.044328, 5.668403, 16.542725 
47120, -4.050384, 5.677129, 16.802946 
47121, -4.185978, 5.585633, 17.329813 
47122, -4.198457, 5.575988, 17.955744 
47123, -4.169495, 5.597236, 18.569950 
47124, -4.123251, 5.656243, 19.634890 
47125, -4.069026, 5.726296, 21.135336 
47126, -4.202020, 5.640069, 22.506268 
47127, -4.201125, 5.652969, 23.342253 
47128, -4.199613, 5.661340, 23.837938 
47129, -4.195364, 5.668624, 24.120989 
47130, -4.154373, 5.700791, 24.262644 
47131, -4.927638, 4.825004, 16.364233 
47132, -4.920807, 4.836330, 16.627493 
47133, -5.061093, 4.698421, 17.160507 
47134, -5.075714, 4.682303, 17.793743 
47135, -5.059939, 4.709935, 18.415117 
47136, -5.004984, 4.786401, 19.492485 
47137, -4.949077, 4.880117, 21.010445 
47138, -5.099857, 4.745985, 22.397375 
47139, -5.238860, 4.882388, 23.243116 
47140, -5.097190, 4.760678, 23.744589 
47141, -5.091380, 4.771752, 24.030941 
47142, -5.054387, 4.824295, 24.174252 
47143, -5.690112, 3.817979, 16.488132 
47144, -5.678021, 3.841171, 16.758892 
47145, -5.809479, 3.650464, 17.307096 
47146, -5.830318, 3.630446, 17.958378 
47147, -5.815949, 3.652207, 18.597460 
47148, -5.763896, 3.755839, 19.705528 
47149, -5.713154, 3.876336, 21.266745 
47150, -5.860517, 3.678852, 22.693197 
47151, -5.861263, 3.681148, 23.563040 
47152, -5.867624, 3.695733, 24.078802 
47153, -5.861488, 3.711422, 24.373316 
47154, -5.822003, 3.775994, 24.520708 
47155, -6.105898, 3.072718, 16.457838 
47156, -6.092763, 3.105142, 16.717266 
47157, -6.209833, 2.877996, 17.242527 
47158, -6.229743, 2.851626, 17.866549 
47159, -6.226501, 2.875244, 18.478882 
47160, -6.181499, 2.998352, 19.540573 
47161, -6.132553, 3.134552, 21.036444 
47162, -6.267331, 2.892603, 22.403194 
47163, -6.276211, 2.895838, 23.236629 
47164, -6.277113, 2.907196, 23.730804 
47165, -6.271749, 2.926300, 24.012991 
47166, -6.237242, 3.002828, 24.154215 
47167, -6.278904, 2.699549, 16.644325 
47168, -6.266021, 2.736652, 16.897125 
47169, -6.373665, 2.491963, 17.408964 
47170, -6.392672, 2.462479, 18.017044 
47171, -6.391451, 2.484806, 18.613733 
47172, -6.351330, 2.617290, 19.648298 
47173, -6.307739, 2.763073, 21.105953 
47174, -6.433316, 2.499511, 22.437784 
47175, -6.442785, 2.501143, 23.249926 
47176, -6.444216, 2.512866, 23.731474 
47177, -6.439501, 2.533646, 24.006453 
47178, -6.408244, 2.615921, 24.144068 
47179, -6.357156, 2.508596, 16.667742 
47180, -6.344594, 2.548077, 16.929499 
47181, -6.446866, 2.294710, 17.459471 
47182, -6.465302, 2.263669, 18.089092 
47183, -6.465031, 2.285290, 18.706923 
47184, -6.427731, 2.422423, 19.778141 
47185, -6.387198, 2.572951, 21.287437 
47186, -6.507349, 2.298638, 22.666452 
47187, -6.517053, 2.299445, 23.507368 
47188, -6.518767, 2.311342, 24.005976 
47189, -6.514450, 2.332960, 24.290695 
